970813	00011958	0854	00	01
970813	00011241	0937	00	01
970813	00048355	0941	00	01
970813	00048355	0941	00	01
970813	00035330	1157	00	01
970813	00055364	1230	00	01
970813	00063826	1342	00	01
970813	00001205	1351	00	01
970813	00063710	1357	00	01
970813	00061572	1359	00	01
970813	00030294	1404	00	01
970813	00035401	1412	00	01
970813	00030945	1415	00	01
970813	00062243	1421	00	01
970813	00065492	1432	00	01
970813	00048355	1445	00	01
970813	00034067	1448	00	01
970813	00011958	1451	00	01
970813	00005004	1453	00	01
970813	00052068	1530	00	01
970813	00055364	1548	00	01
970813	00052842	1604	00	01
970813	00001307	1610	00	01
970813	00015049	1610	00	01
970813	00053842	1633	00	01
970813	00034067	1802	00	01
970813	00011241	1817	00	01
970813	00065492	1901	00	01
970813	00063826	1915	00	01
970813	00001205	1923	00	01
970813	00052842	1928	00	01
970813	00035330	1954	00	01
970813	00063710	2000	00	01
970813	00001307	2000	00	01
970813	00035401	2002	00	01
970813	00053842	2008	00	01
970813	00052068	2008	00	01
970813	00055364	2012	00	01
970814	00055364	0624	00	01
970814	00015049	0637	00	01
970814	00030294	0656	00	01
970814	00062243	0706	00	01
970814	00030945	0708	00	01
970814	00061572	0711	00	01
970814	00005004	0715	00	01
